工作项类型,编号,标题,描述,父级工作项,优先级,迭代,故事点,预估工时,负责人,开始日期,截止日期,标签,验收标准
用户故事,F2.1-S1,透明/再生/DTP 三体制对比与决策,作为载荷研制团队成员，我需要透明/再生/DTP 三体制对比与决策，以满足方案设计与校核要求。,转发体制选型,紧急,Sprint 3,8,,,2026-10-26,2026-11-08,载荷设计流程,① 对比矩阵覆盖余量/灵活度/功耗/质量/成本/成熟度/时延 7 维并加权打分；② 余量不足时的体制升级判据明确（ΔM_reg≥3dB 触发再生/DTP）；③ 决策结论有评审记录与偏离项说明
用户故事,F2.1-S2,定义各体制的组成单机链,作为载荷研制团队成员，我需要定义各体制的组成单机链，以满足方案设计与校核要求。,转发体制选型,紧急,Sprint 3,8,,,2026-10-26,2026-11-08,载荷设计流程,① 透明链 LNA→DCONV→IMUX→均衡→TWTA→OMUX→UCONV→开关矩阵 完整；② 再生链含解调/译码/路由/编码/调制；③ DTP 链含 ADC→交换矩阵→DAC→MPA；④ 单机链与知识图谱 chain 字段一致
用户故事,F2.2-S1,天线体制五要素加权选型,作为载荷研制团队成员，我需要天线体制五要素加权选型，以满足方案设计与校核要求。,天线体制与构型方案,紧急,Sprint 4,13,,,2026-11-09,2026-11-22,载荷设计流程,① 按 EIRP(30)/G-T(25)/重量(20)/功耗(15)/工作模式(10) 五要素加权打分，含货架水平 0.5 系数修正；② 频段硬过滤无错配；③ 工作模式覆盖需求模式（单波束/多波束/波束跳变/在轨重构）；④ 首选与备选方案各≥1 个
用户故事,F2.2-S2,波束方案与覆盖设计,作为载荷研制团队成员，我需要波束方案与覆盖设计，以满足方案设计与校核要求。,天线体制与构型方案,紧急,Sprint 4,8,,,2026-11-09,2026-11-22,载荷设计流程,① 波束数、波束宽度 θ_3dB≈70λ/D、复用色数规划完成且满足 c-13 频率约束；② 波束赋形通道数≥波束端口数≥调度能力≥波束数（c-25 一致性）；③ 覆盖区 EIRP/G-T 等值线图输出
用户故事,F2.3-S1,货架优先选型与缺口识别,作为载荷研制团队成员，我需要货架优先选型与缺口识别，以满足方案设计与校核要求。,货架产品选型与缺口管理,高,Sprint 4,8,,,2026-11-09,2026-11-22,载荷设计流程,① 选型优先级：飞行继承货架(4)>飞行继承(3)>货架在研转货架(2)>定制(1)；② 货架命中率≥80%；③ 每项缺口记录需求、风险、研制周期与缓解措施；④ 缺口数 N_gap 有收敛计划
用户故事,F3.1-S1,有源阵面与 T/R 组件设计,作为载荷研制团队成员，我需要有源阵面与 T/R 组件设计，以满足方案设计与校核要求。,天线分系统详细设计,紧急,Sprint 5,13,,,2026-11-23,2026-12-06,载荷设计流程,① 阵元数 N_el 满足增益需求；② 幅相一致性 Δ_amp≤0.5dB、Δ_phs≤5°；③ 阵面热控使结温 T_j≤125℃；④ 阵面总功耗 ≈ N_el×P_tr 在预算内；⑤ 波束赋形网络通道数≥波束数
用户故事,F3.1-S2,反射面/展开机构与电气性能设计,作为载荷研制团队成员，我需要反射面/展开机构与电气性能设计，以满足方案设计与校核要求。,天线分系统详细设计,紧急,Sprint 5,8,,,2026-11-23,2026-12-06,载荷设计流程,① 面精度 δ_surf≤λ/32（Ka≈0.27mm）且展开到位精度 δ_dep≤δ_surf；② 旁瓣 SLL≤−20dB（ITU-R S.1323）；③ 圆极化轴比 AR≤3dB；④ 馈源照射效率满足总增益要求
用户故事,F3.1-S3,天线射频通道设计（发射/接收/波束链路）,作为载荷研制团队成员，我需要天线射频通道设计（发射/接收/波束链路），以满足方案设计与校核要求。,天线分系统详细设计,紧急,Sprint 6,8,,,2026-12-07,2026-12-20,载荷设计流程,① 发射通道插损 L_tx 计入 EIRP 预算且功率合成效率达标；② 接收通道噪声温度 T_sys 满足 G/T；③ 环行器隔离度≥100dB；④ 三条链路单机链与知识图谱一致
用户故事,F3.2-S1,接收通道与变频设计,作为载荷研制团队成员，我需要接收通道与变频设计，以满足方案设计与校核要求。,转发器分系统详细设计,紧急,Sprint 6,8,,,2026-12-07,2026-12-20,载荷设计流程,① LNA 噪声系数满足 G/T 分配（Ka≤1.6dB/Ku≤1.2dB/L≤0.8dB）且 A/B 冷备；② IMUX 通道数与间隔匹配频率规划；③ 本振相位噪声不恶化 EVM；④ 频段与任务频段一致无错配
用户故事,F3.2-S2,功率放大与输出多工设计,作为载荷研制团队成员，我需要功率放大与输出多工设计，以满足方案设计与校核要求。,转发器分系统详细设计,紧急,Sprint 6,13,,,2026-12-07,2026-12-20,载荷设计流程,① TWTA/SSPA/MPA 选型满足 EIRP 且 P_dc=P_out/η 在功耗预算内；② 行波管效率≥58%、固态效率合理；③ 线性度/回退量满足高阶调制 EVM（IMD3 达标）；④ OMUX 通道插损与隔离达标；⑤ EPC 保护完备
用户故事,F3.2-S3,DTP 数字化与星上交换设计,作为载荷研制团队成员，我需要DTP 数字化与星上交换设计，以满足方案设计与校核要求。,转发器分系统详细设计,紧急,Sprint 7,13,,,2026-12-21,2027-01-03,载荷设计流程,① N_ch×B_sub≥B_trp；② C_sw≥N_beam×B_beam（无交换瓶颈）；③ ADC/DAC 采样带宽、ENOB、SFDR 满足信号质量；④ 在轨重构时间满足业务切换要求；⑤ 子带粒度与功耗权衡有量化结论
用户故事,F3.2-S4,再生基带与星上路由设计（如选再生）,作为载荷研制团队成员，我需要再生基带与星上路由设计（如选再生），以满足方案设计与校核要求。,转发器分系统详细设计,紧急,Sprint 7,8,,,2026-12-21,2027-01-03,载荷设计流程,① MODCOD 阶梯与 ACM/VCM 自适应策略由 C/N 反推（先有 C/N 再定体制）；② LDPC/BCH 编码增益纳入链路预算；③ 星上路由表规模与选路时延满足组网要求
用户故事,F3.3-S1,ATP 捕获跟踪瞄准设计,作为载荷研制团队成员，我需要ATP 捕获跟踪瞄准设计，以满足方案设计与校核要求。,激光通信分系统设计,高,Sprint 8,13,,,2027-01-04,2027-01-17,载荷设计流程,① 建链捕获概率 P_acq≥95%；② 精跟踪精度 σ_track≤1μrad；③ 捕获时间满足星座组网可用度；④ 指向抖动 σ_jit 引起的耦合损耗计入链路余量；⑤ FSM 偏转范围与带宽覆盖平台微振动
用户故事,F3.3-S2,光收发与激光链路设计,作为载荷研制团队成员，我需要光收发与激光链路设计，以满足方案设计与校核要求。,激光通信分系统设计,高,Sprint 8,8,,,2027-01-04,2027-01-17,载荷设计流程,① 光学天线口径（如 Φ135mm）与发散角满足 EIRP_opt≈105dBW；② DPSK 体制门限≈8dB、灵敏度优于 OOK 约 6dB；③ 星间 ISL（约 5000km/10Gbps 量级）余量达标；④ 星地链路云遮蔽概率有站址分集规避方案
用户故事,F3.4-S1,在轨处理与星内数据链路设计,作为载荷研制团队成员，我需要在轨处理与星内数据链路设计，以满足方案设计与校核要求。,智能处理分系统设计,高,Sprint 8,8,,,2027-01-04,2027-01-17,载荷设计流程,① 数据总线速率 R_bus≥载荷数据产生率 R_pdl；② 存储容量 E_store≥R_pdl×T_blind；③ 压缩比 CR （CCSDS）有效降低总线与存储需求；④ 基带处理速率与同步精度达标
用户故事,F3.4-S2,AI 推理与在轨重构调度设计,作为载荷研制团队成员，我需要AI 推理与在轨重构调度设计，以满足方案设计与校核要求。,智能处理分系统设计,高,Sprint 8,8,,,2027-01-04,2027-01-17,载荷设计流程,① AI 算力（TOPS）满足目标检测/变化检测/云检测/业务预测需求；② 重构指令链生效时间满足业务要求；③ 星载计算机 FDIR 覆盖关键单机；④ 重构链路（控制器→总线→ACU/激光控制器/DTP）闭环
用户故事,F3.5-S1,电磁兼容设计,作为载荷研制团队成员，我需要电磁兼容设计，以满足方案设计与校核要求。,EMC-热控-供电协同设计,高,Sprint 6,8,,,2026-12-07,2026-12-20,载荷设计流程,① 收发隔离≥100dB、舱内隔离≥80dB；② 频段间滤波/屏蔽与互调分析无有害干扰；③ 符合 GJB 151B / MIL-STD-461 / ECSS-E-ST-20C
用户故事,F3.5-S2,热控与供电闭环校核,作为载荷研制团队成员，我需要热控与供电闭环校核，以满足方案设计与校核要求。,EMC-热控-供电协同设计,高,Sprint 6,8,,,2026-12-07,2026-12-20,载荷设计流程,① 行波管 −10~+55℃、LNA −40~+70℃、T/R 结温≤125℃ 全部满足；② 峰值/均值功耗曲线完成且阴影期供电校核通过；③ M_pay≤M_budget、P_pay≤P_budget 且裕度≥10%
用户故事,F4.1-S1,上行/下行链路预算与余量判据,作为载荷研制团队成员，我需要上行/下行链路预算与余量判据，以满足方案设计与校核要求。,链路预算与余量校核,紧急,Sprint 7,13,,,2026-12-21,2027-01-03,载荷设计流程,① 完整计入 FSPL/雨衰/大气/指向/极化/实现损耗；② C/N0=EIRP−L_fs−ΣL+G/T−k、C/N=C/N0−10lg(B) 计算可复现；③ 全部链路余量 M≥3dB；④ 可用性（99.9%/99.99%）与雨衰对应正确；⑤ 双人交叉复核
用户故事,F4.1-S2,MODCOD 自适应与容量闭环,作为载荷研制团队成员，我需要MODCOD 自适应与容量闭环，以满足方案设计与校核要求。,链路预算与余量校核,紧急,Sprint 7,8,,,2026-12-21,2027-01-03,载荷设计流程,① 体制由实际 C/N 在 DVBS2X 阶梯上自适应选定（QPSK 1.79→8PSK 2.85→16APSK 3.70→32APSK 4.45 bps/Hz）；② 链路容量 C=B×η 与系统容量需求闭环；③ 遵循「先有 C/N 再定体制与容量」而非先锁高阶体制
用户故事,F4.1-S3,激光链路校核,作为载荷研制团队成员，我需要激光链路校核，以满足方案设计与校核要求。,链路预算与余量校核,紧急,Sprint 8,5,,,2027-01-04,2027-01-17,载荷设计流程,① 光学路径损耗、大气湍流代价计入；② DPSK 门限（≈8dB）余量达标；③ ISL 速率与星地云遮蔽概率满足可用度要求
用户故事,F4.2-S1,内环（平台可行性）与外环（链路余量）迭代,作为载荷研制团队成员，我需要内环（平台可行性）与外环（链路余量）迭代，以满足方案设计与校核要求。,双回环迭代优化与三重校验,紧急,Sprint 9,13,,,2027-01-18,2027-01-31,载荷设计流程,① 内环：质量/功耗超限→换天线或分系统方案，迭代≤3 次；② 外环：余量<3dB→降阶调制/增 EIRP/减带宽/放宽可用性→换天线重选，迭代≤2 次；③ 回环耗尽转 L3 人工决策；④ 每次迭代有记录与收敛判据
用户故事,F4.2-S2,三重校验体系（语法/语义/合规）,作为载荷研制团队成员，我需要三重校验体系（语法/语义/合规），以满足方案设计与校核要求。,双回环迭代优化与三重校验,紧急,Sprint 9,8,,,2027-01-18,2027-01-31,载荷设计流程,① 语法校验：文档要素完整性（章节/表格/单位）；② 语义校验：指标一致性（EIRP/G-T 满足需求、质量功耗在平台内、工作模式匹配）；③ 合规校验：余量≥3dB、频段-产品匹配无错配、货架优先；④ 校验项≥10 类且结果可导出
用户故事,F4.2-S3,异常分级与处置机制,作为载荷研制团队成员，我需要异常分级与处置机制，以满足方案设计与校核要求。,双回环迭代优化与三重校验,紧急,Sprint 9,5,,,2027-01-18,2027-01-31,载荷设计流程,① L1 自动降级 8 条、L2 告警放行 16 条、L3 中止转人工 6 条，共 30 条规则全覆盖 11 个环节；② L3 触发即中断并生成人工决策任务；③ 异常触发日志可追溯
用户故事,F5.1-S1,平台承载/供电/寿命适配校核,作为载荷研制团队成员，我需要平台承载/供电/寿命适配校核，以满足方案设计与校核要求。,平台适配与耦合分析,高,Sprint 10,8,,,2027-02-01,2027-02-14,载荷设计流程,① 载荷质量≤平台承载、功耗≤平台供电，利用率≤90%（裕度≥10%）；② 包络尺寸与安装接口/布局可行；③ 平台设计寿命≥任务寿命（GEO≥15 年）；④ 轨道兼容性（SSO→LEO 等）校核通过
用户故事,F5.1-S2,姿态/轨道耦合与微振动影响分析,作为载荷研制团队成员，我需要姿态/轨道耦合与微振动影响分析，以满足方案设计与校核要求。,平台适配与耦合分析,高,Sprint 10,8,,,2027-02-01,2027-02-14,载荷设计流程,① 波束指向精度 θ_e 满足指向损耗 L_pnt=12(θ_e/θ_3dB)² 预算；② 姿态稳定度满足窄波束与激光链路要求；③ 微振动量级明确并给出 FSM 补偿需求；④ 大口径天线展开对姿态的扰动已评估
用户故事,F5.2-S1,运载选型与发射环境校核,作为载荷研制团队成员，我需要运载选型与发射环境校核，以满足方案设计与校核要求。,运载适配与发射约束,高,Sprint 10,8,,,2027-02-01,2027-02-14,载荷设计流程,① 整星质量≤所选运载对应轨道（GTO/LEO/SSO）运力；② 整流罩包络与大口径天线收纳/展开方案可行；③ 发射力学环境（振动/冲击/噪声）对天线与展开机构的影响已校核；④ 备选运载≥1 个
用户故事,F5.3-S1,分系统集成接口定义（ICD）,作为载荷研制团队成员，我需要分系统集成接口定义（ICD），以满足方案设计与校核要求。,分系统集成与验证试验策划,高,Sprint 11,8,,,2027-02-15,2027-02-28,载荷设计流程,① 电/机械/热/数据四类接口 ICD 齐套并受控；② 天线-转发器-激光-智能处理集成顺序与耦合分析完成；③ 接口不一致项清零
用户故事,F5.3-S2,验证试验大纲与仿真验证,作为载荷研制团队成员，我需要验证试验大纲与仿真验证，以满足方案设计与校核要求。,分系统集成与验证试验策划,高,Sprint 11,13,,,2027-02-15,2027-02-28,载荷设计流程,① 天线方向图/增益/轴比、转发器通道 S 参数/群时延/互调、激光 ATP 建链与跟踪精度测试方案齐套；② EMC/热真空/振动试验大纲符合 GJB150A / ECSS-Q-ST-70C；③ 链路预算模型经仿真验证并与在轨/实测数据对齐；④ 波束赋形与覆盖仿真（HFSS/STK）完成；⑤ 在轨重构场景数字孪生演练通过
用户故事,F6.1-S1,载荷方案文档编制与排版,作为载荷研制团队成员，我需要载荷方案文档编制与排版，以满足方案设计与校核要求。,方案文档与交付物,紧急,Sprint 12,8,,,2027-03-01,2027-03-14,载荷设计流程,① 十章文档齐套（需求分析/总体方案/分系统设计/链路预算/校核结论/风险/交付物等）；② 图表完整（波束覆盖、链路预算表、单机链、质量功耗表）；③ 符合中文公文格式；④ 可导出 DOC/PDF；⑤ 文档生成自检 9 项全过
用户故事,F6.1-S2,交付物清单归档与配置管理,作为载荷研制团队成员，我需要交付物清单归档与配置管理，以满足方案设计与校核要求。,方案文档与交付物,紧急,Sprint 12,5,,,2027-03-01,2027-03-14,载荷设计流程,① 图纸/ICD/试验大纲/风险清单/缺口清单/校核报告齐套；② 版本受控并建立基线；③ 归档可检索
用户故事,F6.2-S1,知识图谱与货架库/规则库更新,作为载荷研制团队成员，我需要知识图谱与货架库/规则库更新，以满足方案设计与校核要求。,知识沉淀与工具化复用,高,Sprint 12,8,,,2027-03-01,2027-03-14,载荷设计流程,① 通信有效载荷知识图谱（分系统/单机/链路/约束）更新并与最终方案一致；② 货架库扩容并回填飞行继承数据；③ 25 条工程约束与 30 条异常规则迭代；④ 缺口项转为货架候选
用户故事,F6.2-S2,设计工具固化与模板复用,作为载荷研制团队成员，我需要设计工具固化与模板复用，以满足方案设计与校核要求。,知识沉淀与工具化复用,高,Sprint 12,8,,,2027-03-01,2027-03-14,载荷设计流程,① 选型引擎/链路预算/三重校验工具固化可复用；② 文档自动生成与自检流程化；③ 复用模板与最佳实践库建立；④ 下一型号可直接复用（复用率目标≥60%）
用户故事,F6.3-S1,度量统计与复盘改进,作为载荷研制团队成员，我需要度量统计与复盘改进，以满足方案设计与校核要求。,项目复盘与持续改进,中,Sprint 12,5,,,2027-03-01,2027-03-14,载荷设计流程,① 迭代速率/燃尽/周期时间/缺陷密度/门禁通过率/返工率统计完成；② 效率与质量指标达成情况有量化结论；③ 回顾会改进项入库并指定责任人；④ 流程模板更新
