工作项类型,编号,标题,描述,父级工作项,优先级,迭代,故事点,预估工时,负责人,开始日期,截止日期,标签,验收标准
任务,F3.3-S2-T7,光开关多链路切换与主备倒换设计,,光收发与激光链路设计,高,Sprint 8,,4,激光设计师,2027-01-04,2027-01-17,"可靠性,载荷设计流程",
任务,F3.4-S1-T1,基带处理单元速率与同步设计,,在轨处理与星内数据链路设计,高,Sprint 8,,6,基带设计师,2027-01-04,2027-01-17,"处理,载荷设计流程",
任务,F3.4-S1-T2,DPU 在轨处理与 CCSDS 压缩方案设计,,在轨处理与星内数据链路设计,高,Sprint 8,,8,处理设计师,2027-01-04,2027-01-17,"处理,载荷设计流程",
任务,F3.4-S1-T3,存储容量核算（E_store≥R_pdl×T_blind）与 EDAC 设计,,在轨处理与星内数据链路设计,高,Sprint 8,,6,处理设计师,2027-01-04,2027-01-17,"处理,载荷设计流程",
任务,F3.4-S1-T4,星上数据总线选型（SpaceWire/FC-AE）与速率校核,,在轨处理与星内数据链路设计,高,Sprint 8,,6,处理设计师,2027-01-04,2027-01-17,"处理,载荷设计流程",
任务,F3.4-S2-T1,AI 推理单元算力需求与模型部署方案,,AI 推理与在轨重构调度设计,高,Sprint 8,,8,处理设计师,2027-01-04,2027-01-17,"智能,载荷设计流程",
任务,F3.4-S2-T2,在轨重构控制器指令链与生效时间设计,,AI 推理与在轨重构调度设计,高,Sprint 8,,8,处理设计师,2027-01-04,2027-01-17,"重构,载荷设计流程",
任务,F3.4-S2-T3,星载计算机 FDIR 故障检测隔离恢复设计,,AI 推理与在轨重构调度设计,高,Sprint 8,,8,处理设计师,2027-01-04,2027-01-17,"可靠性,载荷设计流程",
任务,F3.4-S2-T4,星上组网与多星协同路由设计,,AI 推理与在轨重构调度设计,高,Sprint 8,,6,基带设计师,2027-01-04,2027-01-17,"组网,载荷设计流程",
任务,F3.4-S2-T5,重构链路闭环验证方案（ACU/激光控制器/DTP）,,AI 推理与在轨重构调度设计,高,Sprint 8,,6,处理设计师,2027-01-04,2027-01-17,"重构,载荷设计流程",
任务,F3.5-S1-T1,收发隔离与舱内隔离指标分配（≥100/≥80dB）,,电磁兼容设计,高,Sprint 6,,6,EMC工程师,2026-12-07,2026-12-20,"EMC,载荷设计流程",
任务,F3.5-S1-T2,频段间滤波与屏蔽方案设计,,电磁兼容设计,高,Sprint 6,,8,EMC工程师,2026-12-07,2026-12-20,"EMC,载荷设计流程",
任务,F3.5-S1-T3,互调与自激风险分析,,电磁兼容设计,高,Sprint 6,,8,EMC工程师,2026-12-07,2026-12-20,"EMC,载荷设计流程",
任务,F3.5-S1-T4,EMC 标准符合性矩阵（GJB151B/461/ECSS-20C）,,电磁兼容设计,高,Sprint 6,,6,质量师,2026-12-07,2026-12-20,"合规,载荷设计流程",
任务,F3.5-S2-T1,分系统温度范围与热控方案设计,,热控与供电闭环校核,高,Sprint 6,,8,热控工程师,2026-12-07,2026-12-20,"热控,载荷设计流程",
任务,F3.5-S2-T2,峰值/均值功耗曲线与阴影期供电校核,,热控与供电闭环校核,高,Sprint 6,,8,电源工程师,2026-12-07,2026-12-20,"供电,载荷设计流程",
任务,F3.5-S2-T3,质量功耗预算闭环校核（c-17，裕度≥10%）,,热控与供电闭环校核,高,Sprint 6,,6,质量师,2026-12-07,2026-12-20,"校核,载荷设计流程",
任务,F3.5-S2-T4,超限处置预案（换方案/降配/换平台）,,热控与供电闭环校核,高,Sprint 6,,4,总体设计师,2026-12-07,2026-12-20,"风险,载荷设计流程",
任务,F4.1-S1-T1,自由空间损耗 FSPL 计算（斜距×频率）,,上行/下行链路预算与余量判据,紧急,Sprint 7,,4,链路工程师,2026-12-21,2027-01-03,"链路,载荷设计流程",
任务,F4.1-S1-T2,雨衰模型（A(p)∝p^-0.6，按仰角归一）与可用性核算,,上行/下行链路预算与余量判据,紧急,Sprint 7,,8,链路工程师,2026-12-21,2027-01-03,"链路,载荷设计流程",
任务,F4.1-S1-T3,指向损耗 L_pnt=12(θ_e/θ_3dB)² 与极化/大气/实现损耗,,上行/下行链路预算与余量判据,紧急,Sprint 7,,6,链路工程师,2026-12-21,2027-01-03,"链路,载荷设计流程",
任务,F4.1-S1-T4,上行 C/N0 与 C/N 计算（关口站 EIRP + 星上 G/T）,,上行/下行链路预算与余量判据,紧急,Sprint 7,,8,链路工程师,2026-12-21,2027-01-03,"链路,载荷设计流程",
任务,F4.1-S1-T5,下行 C/N0 与 C/N 计算（星上 EIRP + 地面 G/T）,,上行/下行链路预算与余量判据,紧急,Sprint 7,,8,链路工程师,2026-12-21,2027-01-03,"链路,载荷设计流程",
任务,F4.1-S1-T6,余量 M≥3dB 判据校核与不通过项清单,,上行/下行链路预算与余量判据,紧急,Sprint 7,,6,质量师,2026-12-21,2027-01-03,"校核,载荷设计流程",
任务,F4.1-S1-T7,链路预算双人交叉复核与签署,,上行/下行链路预算与余量判据,紧急,Sprint 7,,4,质量师,2026-12-21,2027-01-03,"质量,载荷设计流程",
任务,F4.1-S2-T1,DVBS2X 阶梯与解调门限表建立,,MODCOD 自适应与容量闭环,紧急,Sprint 7,,6,基带设计师,2026-12-21,2027-01-03,"体制,载荷设计流程",
